Bit resolution | Min Frequency [Hz] | Max Frequency [Hz]
             1 |                489 |           40078277
             2 |                245 |           20039138
             3 |                123 |           10019569
             4 |                 62 |            5009784
             5 |                 31 |            2504892
             6 |                 16 |            1252446
             7 |                  8 |             626223
             8 |                  4 |             313111
             9 |                  2 |             156555
            10 |                  1 |              78277
            11 |                  1 |              39138
            12 |                  1 |              19569
            13 |                  1 |               9784
            14 |                  1 |               4892
            15 |                  1 |               2446
            16 |                  1 |               1223
            17 |                  1 |                611
            18 |                  1 |                305
            19 |                  1 |                152
            20 |                  1 |                 76
